country,latitude,longitude,value,type
India,16.3942,74.1901,1,incidents
India,16.4355,80.9956,1,incidents
India,16.5074,80.6466,2,incidents
India,16.5298,79.5627,1,incidents
India,16.6571,73.5211,1,incidents
India,16.7438,77.9859,1,incidents
India,16.7738,78.1367,1,incidents
India,16.8244,75.7153,1,incidents
India,16.9066,73.7446,1,incidents
India,16.9313,78.2902,1,incidents
India,16.9915,73.3102,1,incidents
India,17.2476,80.1436,1,incidents
India,17.384,78.4563,17,incidents
India,17.4818,78.5366,1,incidents
India,17.5318,78.2674,1,incidents
India,17.551,80.6177,2,incidents
India,17.5941,80.3224,1,incidents
India,17.614,78.0812,1,incidents
India,17.8186,81.3802,1,incidents
India,17.8353,81.4281,1,incidents
India,17.8452,78.6818,1,incidents
India,17.9689,79.5941,2,incidents
India,18.0453,78.2607,1,incidents
India,18.0673,77.8162,1,incidents
India,18.1025,78.8516,1,incidents
India,18.1169,83.4114,1,incidents
India,18.1771,78.6654,1,incidents
India,18.2879,81.9698,1,incidents
India,18.3438,81.883,2,incidents
India,18.382,79.0454,1,incidents
India,18.4391,79.1286,1,incidents
India,18.5195,73.8553,2,incidents
India,18.7782,84.0939,1,incidents
India,18.7939,80.8159,2,incidents
India,18.8134,82.7125,2,incidents
India,18.8707,79.4286,1,incidents
India,18.9985,72.8364,3,incidents
India,19.0728,72.8826,1,incidents
India,19.0945,74.7384,1,incidents
India,19.0968,78.344,1,incidents
India,19.1713,83.4142,3,incidents
India,19.1767,73.0222,2,incidents
India,19.197,72.9635,1,incidents
India,19.228,82.5471,1,incidents
India,19.3115,84.7929,2,incidents
India,19.3417,82.5198,2,incidents
India,19.3585,79.2842,1,incidents
India,19.387,85.0507,1,incidents
India,19.4278,84.998,1,incidents
India,19.6681,85.4414,1,incidents
India,19.672,78.5359,3,incidents
India,19.8123,85.8317,2,incidents
India,19.9072,83.1615,1,incidents
India,20.003,85.6492,2,incidents
India,20.1285,85.0956,1,incidents
India,20.1886,85.6341,1,incidents
India,20.2557,86.1711,1,incidents
India,20.2719,81.4917,2,incidents
India,20.2724,85.8338,7,incidents
India,20.4636,85.8826,2,incidents
India,20.48,84.2332,1,incidents
India,20.5016,86.4222,4,incidents
India,20.6513,85.5975,1,incidents
India,20.6609,75.3476,1,incidents
India,20.7045,86.4705,1,incidents
India,20.7075,83.4831,1,incidents
India,20.8167,82.5333,1,incidents
India,20.8306,83.5956,1,incidents
India,20.8333,83.9166,1,incidents
India,20.8377,84.3261,1,incidents
India,20.8444,85.1511,1,incidents
India,20.8485,86.3372,1,incidents
India,20.9141,86.4468,1,incidents
India,21.0583,86.4957,2,incidents
India,21.2069,81.5802,1,incidents
India,21.2333,81.6333,3,incidents
India,21.3331,83.619,1,incidents
India,21.4615,86.758,4,incidents
India,21.4684,83.9866,1,incidents
India,21.4871,86.9246,1,incidents
India,21.5376,84.7337,1,incidents
India,21.5462,84.6034,1,incidents
India,21.6296,85.5934,2,incidents
India,21.6987,81.2653,1,incidents
India,21.8543,84.0108,1,incidents
India,21.9345,86.7285,1,incidents
India,22.1148,88.3217,2,incidents
India,22.1241,84.0426,1,incidents
India,22.1773,88.4255,1,incidents
India,22.198,88.2023,1,incidents
India,22.2916,70.7932,1,incidents
India,22.3103,88.6581,1,incidents
India,22.363,88.8762,1,incidents
India,22.4504,77.4665,1,incidents
India,22.5251,88.6088,1,incidents
India,22.5712,88.311,1,incidents
India,22.5728,88.3747,2,incidents
India,22.6334,88.4228,1,incidents
India,22.6467,88.3736,1,incidents
India,22.7179,75.8333,2,incidents
India,22.8648,85.328,1,incidents
India,22.8659,87.4123,1,incidents
India,23.2504,91.4679,1,incidents
India,23.2546,77.4028,4,incidents
India,23.2983,91.4104,1,incidents
India,23.3124,91.5615,1,incidents
India,23.3432,85.3094,3,incidents
India,23.4754,91.2659,1,incidents
India,23.5333,91.4833,1,incidents
India,23.5688,76.4721,1,incidents
India,23.5798,91.8352,1,incidents
India,23.6743,86.9517,1,incidents
India,23.7404,91.1667,1,incidents
India,23.833,91.2864,17,incidents
India,23.8462,91.3431,1,incidents
India,23.9071,91.3512,1,incidents
India,23.9358,91.8541,1,incidents
India,23.9969,85.3711,1,incidents
India,24.067,91.6057,1,incidents
India,24.1969,91.8334,1,incidents
India,24.2508,94.3007,1,incidents
India,24.3319,92.0039,1,incidents
India,24.3667,92.1667,2,incidents
India,24.3959,81.8812,2,incidents
India,24.4351,93.7985,1,incidents
India,24.4385,93.7214,1,incidents
India,24.4464,78.3188,2,incidents
India,24.4973,93.9821,1,incidents
India,24.5842,94.0769,1,incidents
India,24.6305,93.7597,1,incidents
India,24.6451,93.9955,1,incidents
India,24.6793,92.5602,1,incidents
India,24.687,83.0689,1,incidents
India,24.6901,78.4191,1,incidents
India,24.7277,83.3895,1,incidents
India,24.7992,93.9365,27,incidents
India,24.8075,93.1139,1,incidents
India,24.8334,92.7791,5,incidents
India,24.8652,92.3593,1,incidents
India,24.9491,84.0294,1,incidents
